frequency,geographical_region,age_group,sex,time_period,observation_value
Annual,Maltese Islands,Total,Total,2018,492968
Annual,Maltese Islands,Total,Total,2019,514855
Annual,Maltese Islands,Total,Total,2020,516125
Annual,Maltese Islands,Total,Total,2021,520174
Annual,Maltese Islands,Total,Total,2022,542051
Annual,Maltese Islands,Total,Total,2023,563443
Annual,Maltese Islands,55 - 59 years,Males,2018,15858
Annual,Maltese Islands,55 - 59 years,Males,2019,16025
Annual,Maltese Islands,55 - 59 years,Males,2020,15592
Annual,Maltese Islands,55 - 59 years,Males,2021,15167
Annual,Maltese Islands,55 - 59 years,Males,2022,14789
Annual,Maltese Islands,55 - 59 years,Males,2023,14790
Annual,Maltese Islands,65 - 69 years,Total,2018,28438
Annual,Maltese Islands,65 - 69 years,Total,2019,28269
Annual,Maltese Islands,65 - 69 years,Total,2020,28051
Annual,Maltese Islands,65 - 69 years,Total,2021,28484
Annual,Maltese Islands,65 - 69 years,Total,2022,29115
Annual,Maltese Islands,65 - 69 years,Total,2023,29578
Annual,Maltese Islands,15 - 64 years,Females,2018,159460
Annual,Maltese Islands,15 - 64 years,Females,2019,165120
Annual,Maltese Islands,15 - 64 years,Females,2020,164412
Annual,Maltese Islands,15 - 64 years,Females,2021,164417
Annual,Maltese Islands,15 - 64 years,Females,2022,169877
Annual,Maltese Islands,15 - 64 years,Females,2023,175743
Annual,Maltese Islands,30 - 34 years,Males,2018,22784
Annual,Maltese Islands,30 - 34 years,Males,2019,25398
Annual,Maltese Islands,30 - 34 years,Males,2020,25704
Annual,Maltese Islands,30 - 34 years,Males,2021,26336
Annual,Maltese Islands,30 - 34 years,Males,2022,29453
Annual,Maltese Islands,30 - 34 years,Males,2023,32258
Annual,Maltese Islands,30 - 34 years,Females,2018,19860
Annual,Maltese Islands,30 - 34 years,Females,2019,21594
Annual,Maltese Islands,30 - 34 years,Females,2020,22011
Annual,Maltese Islands,30 - 34 years,Females,2021,22217
Annual,Maltese Islands,30 - 34 years,Females,2022,23390
Annual,Maltese Islands,30 - 34 years,Females,2023,24521
Annual,Maltese Islands,45 - 49 years,Total,2018,30513
Annual,Maltese Islands,45 - 49 years,Total,2019,33019
Annual,Maltese Islands,45 - 49 years,Total,2020,34342
Annual,Maltese Islands,45 - 49 years,Total,2021,35531
Annual,Maltese Islands,45 - 49 years,Total,2022,37457
Annual,Maltese Islands,45 - 49 years,Total,2023,39339
Annual,Maltese Islands,Total,Females,2018,240787
Annual,Maltese Islands,Total,Females,2019,248296
Annual,Maltese Islands,Total,Females,2020,248511
Annual,Maltese Islands,Total,Females,2021,249705
Annual,Maltese Islands,Total,Females,2022,257230
Annual,Maltese Islands,Total,Females,2023,264697
Annual,Maltese Islands,10 - 14 years,Males,2018,11174
Annual,Maltese Islands,10 - 14 years,Males,2019,11467
Annual,Maltese Islands,10 - 14 years,Males,2020,11484
Annual,Maltese Islands,10 - 14 years,Males,2021,11650
Annual,Maltese Islands,10 - 14 years,Males,2022,11915
Annual,Maltese Islands,10 - 14 years,Males,2023,12008
Annual,Maltese Islands,10 - 14 years,Females,2018,10309
Annual,Maltese Islands,10 - 14 years,Females,2019,10606
Annual,Maltese Islands,10 - 14 years,Females,2020,10666
Annual,Maltese Islands,10 - 14 years,Females,2021,10927
Annual,Maltese Islands,10 - 14 years,Females,2022,11272
Annual,Maltese Islands,10 - 14 years,Females,2023,11285
Annual,Maltese Islands,20 - 24 years,Total,2018,31208
Annual,Maltese Islands,20 - 24 years,Total,2019,32284
Annual,Maltese Islands,20 - 24 years,Total,2020,30736
Annual,Maltese Islands,20 - 24 years,Total,2021,29447
Annual,Maltese Islands,20 - 24 years,Total,2022,30742
Annual,Maltese Islands,20 - 24 years,Total,2023,31883
