DATAFLOW,FREQ: Frequency,GEO: Geographical Region,AGE: Age Group,SEX: Sex,TIME_PERIOD: Time Period,OBS_VALUE,CONF_STATUS: Confidentiality Status,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,_T: Total,T: Total,2018,492968,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,_T: Total,T: Total,2019,514855,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,_T: Total,T: Total,2020,516125,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,_T: Total,T: Total,2021,520174,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,_T: Total,T: Total,2022,542051,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,_T: Total,T: Total,2023,563443,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y55T59: 55 - 59 years,M: Males,2018,15858,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y55T59: 55 - 59 years,M: Males,2019,16025,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y55T59: 55 - 59 years,M: Males,2020,15592,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y55T59: 55 - 59 years,M: Males,2021,15167,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y55T59: 55 - 59 years,M: Males,2022,14789,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y55T59: 55 - 59 years,M: Males,2023,14790,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y65T69: 65 - 69 years,T: Total,2018,28438,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y65T69: 65 - 69 years,T: Total,2019,28269,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y65T69: 65 - 69 years,T: Total,2020,28051,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y65T69: 65 - 69 years,T: Total,2021,28484,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y65T69: 65 - 69 years,T: Total,2022,29115,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT: Maltese Islands,Y65T69: 65 - 69 years,T: Total,2023,29578,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,F: Females,2018,159460,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,F: Females,2019,165120,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,F: Females,2020,164412,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,F: Females,2021,164417,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,F: Females,2022,169877,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y15T64: 15 - 64 years,F: Females,2023,175743,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,M: Males,2018,22784,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,M: Males,2019,25398,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,M: Males,2020,25704,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,M: Males,2021,26336,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,M: Males,2022,29453,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,M: Males,2023,32258,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,F: Females,2018,19860,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,F: Females,2019,21594,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,F: Females,2020,22011,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,F: Females,2021,22217,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,F: Females,2022,23390,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y30T34: 30 - 34 years,F: Females,2023,24521,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y45T49: 45 - 49 years,T: Total,2018,30513,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y45T49: 45 - 49 years,T: Total,2019,33019,,,
ESTAT:DF_POPSTAT_02R(1.0),A: Annual,MT0: Maltese Islands,Y45T49: 45 - 49 years,T: Total,2020,34342,,,
